sponsor_name,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,keyword_6,keyword_7,keyword_8,keyword_9,keyword_10
Jennifer M. Callahan,promote,urinary,incontinence,health,management,licensure,applied,behavior,analysts,updating
Peter J. Koutoujian,promote,urinary,incontinence,health,management,medical,spas,childhood,vaccine,program
Joan M. Menard,regulating,pharmacy,audits,medical,spas,,,,,
Susan C. Fargo,health,commonwealth,public,provide,care,town,access,services,children,regulating
Martha M. Walz,public,health,commonwealth,school,access,care,provide,schools,education,personal
Barbara A. L'Italien,health,care,access,services,education,commonwealth,public,program,insurance,disabilities
Richard R. Tisei,requiring,supermajority,vote,utilization,rainy,funds,,,,
Michael R. Knapik,state,commonwealth,public,health,veterans,insurance,home,city,care,safety
Robert L. Hedlund,public,commonwealth,town,safety,requiring,state,housing,creating,education,fund
Scott P. Brown,requiring,supermajority,vote,utilization,rainy,funds,veterans,burial,benefits,updating
John A. Jr. Hart,veterans,benefits,service,burial,motor,agents,officers,disaster,emergency,fund
Harold P. Naughton,veterans,veteran,town,service,special,military,agents,housing,officers,program
Susan C. Tucker,stabilize,neighborhoods,clarify,enhance,privacy,protections,electronic,health,records,updating
Denise Provost,health,public,commonwealth,access,care,education,protect,services,promote,safety
Timothy J. Toomey,fire,chief,city,cambridge,retirement,service,standards,qualifications,position,engineer
Karen E. Spilka,town,public,commonwealth,children,health,promote,services,care,natick,special
Ellen Story,health,commonwealth,care,education,school,public,voting,services,children,safety
Anthony D. Galluccio,stabilize,neighborhoods,create,environmental,justice,clarify,enhance,privacy,protections,electronic
Gale D. Candaras,care,services,commonwealth,public,health,safety,education,program,regulating,establish
William Lantigua,stabilize,neighborhoods,,,,,,,,
Richard T. Moore,town,health,promote,public,state,sick,bank,employee,care,commonwealth
Brian A. Joyce,health,town,services,access,mental,children,public,department,care,safety
Matthew C. Patrick,licensure,applied,behavior,analysts,,,,,,
Tom Sannicandro,health,commonwealth,care,public,disabilities,children,education,access,services,protect
Viriato Manuel deMacedo,insurance,commonwealth,public,children,housing,protecting,safety,state,offenders,rights
Michael F. Kane,holyoke,retirement,education,community,care,soldier,home,capital,maintenance,trust
Byron Rushing,public,commonwealth,health,access,protect,laws,care,rights,records,special
Sonia Chang-DÂ¨Âªaz,clarify,enhance,privacy,protections,electronic,health,records,,,
Geraldo Alicea,district,require,products,commonwealth,electronic,bill,hunting,motor,judicial,regional
Stephen M. Brewer,town,department,sick,leave,bank,service,employee,services,police,developmental
John P. Fresolo,public,safety,health,care,provide,commonwealth,insurance,services,service,police
Stephen R. Canessa,commonwealth,public,rebates,promote,prevent,care,insurance,program,sick,individuals
James J. Dwyer,public,education,health,safety,services,care,school,commonwealth,state,children
Bill Bowles,updating,animal,control,laws,,,,,,
James M. Cantwell,health,safety,access,public,commonwealth,school,services,insurance,promoting,care
Cheryl A. Coakley-Rivera,commonwealth,education,care,public,health,establish,students,safety,updating,protect
Carl M. Sciortino,economic,development,efficiency,housing,energy,transparency,promoting,accountability,local,transportation
Anthony W. Petruccelli,city,public,commonwealth,revere,safety,department,program,boston,designating,health
Jennifer E. Benson,health,education,public,access,care,commonwealth,services,promote,protect,safety
Daniel R. Cullinane,health,public,education,commonwealth,access,transparency,care,safety,ensure,protect
Randy Hunt,safety,town,public,commonwealth,school,health,fund,state,study,children
Jonathan Hecht,health,commonwealth,public,access,promote,care,services,promoting,education,protect
Jos¨¦ F. Tosado,health,public,access,care,commonwealth,education,safety,promote,program,protect
Aaron Vega,public,access,commonwealth,education,health,program,safety,promote,care,services
Paul Brodeur,health,care,public,education,protect,services,requiring,commonwealth,access,disabilities
David M. Nangle,commonwealth,health,care,public,city,lowell,access,school,safety,officers
Louis L. Kafka,health,care,public,access,safety,services,commonwealth,education,protect,insurance
Stephan Hay,health,public,education,access,commonwealth,safety,emergency,services,covid,program
Harold P. Naughton Jr.,health,commonwealth,care,education,public,benefits,access,services,safety,service
Elizabeth A. Poirier,public,safety,commonwealth,children,veterans,school,health,housing,education,access
William L. Crocker Jr.,public,health,access,safety,veterans,education,commonwealth,protecting,care,state
RoseLee Vincent,commonwealth,health,covid,city,public,access,insurance,care,services,promote
Shaunna L. O'Connell,public,access,health,state,offender,safety,veterans,commonwealth,officers,school
Donald F. Humason Jr.,commonwealth,public,safety,credit,veterans,health,municipal,protecting,study,promote
Dean A. Tran,education,health,safety,access,services,program,town,commonwealth,public,emergency
Angelo M. Scaccia,health,services,mental,public,access,care,commonwealth,veterans,residents,policies
James T. Welch,access,public,care,education,health,commonwealth,covid,safety,services,department
Aaron Michlewitz,safety,concerning,protect,commonwealth,public,health,boston,access,workers,city
Theodore C. Speliotis,commonwealth,veterans,services,care,health,program,town,police,service,department
Donald F. Jr. Humason,city,firearm,hunting,sale,license,fees,lawful,westfield,town,easthampton
Viriato M. deMacedo,town,commonwealth,public,state,plymouth,health,access,department,insurance,safety
Robert A. DeLeo,city,revere,sick,leave,bank,employee,committee,winthrop,order,joint
Thomas M. Petrolati,care,public,sexual,department,commonwealth,city,abuse,chicopee,employees,children
Carlo Basile,public,safety,care,health,boston,education,commonwealth,school,special,protecting
Stephen L. DiNatale,health,school,commonwealth,services,education,public,safety,program,department,regarding
Cory Atkins,public,health,commonwealth,care,protect,access,school,safety,municipal,children
Leonard Mirra,public,housing,health,town,property,school,state,access,program,sales
Keiko M. Orrall,public,commonwealth,health,protecting,agricultural,housing,state,access,study,requiring
Shaunna O'Connell,public,children,sales,protecting,insurance,safety,department,municipal,offenders,rights
Chris Walsh,public,health,access,care,commonwealth,promote,safety,services,program,protect
Denise Andrews,health,commonwealth,care,services,public,school,town,access,protect,regarding
Martin J. Walsh,health,safety,public,commonwealth,care,education,employees,school,program,insurance
Benjamin Swan,health,commonwealth,public,care,education,children,access,services,safety,program
William Smitty Pignatelli,health,commonwealth,care,town,education,services,school,program,public,insurance
Carl M. Sciortino Jr.,health,care,public,commonwealth,access,services,education,insurance,program,school
Frank I. Smizik,health,commonwealth,public,protect,care,access,education,services,energy,promote
Stephen Kulik,health,town,public,commonwealth,care,agricultural,access,protect,promote,benefits
Timothy J. Toomey Jr.,health,care,safety,public,services,protect,workers,education,commonwealth,program
Peter V. Kocot,health,public,commonwealth,education,access,protect,care,promote,services,state
Thomas P. Conroy,health,commonwealth,care,public,protect,school,housing,services,special,access
Timothy R. Madden,town,nantucket,commonwealth,insurance,care,health,education,safety,public,coverage
Gloria L. Fox,health,establish,commonwealth,public,program,housing,care,education,access,violence
Linda Dorcena Forry,health,commonwealth,promote,housing,program,access,safety,care,education,establish
Matthew A. Beaton,commonwealth,children,public,rights,offenders,town,insurance,protecting,energy,sales
Donald Humason,public,commonwealth,department,housing,services,program,safety,efficiency,protecting,sales
James R. Miceli,public,safety,health,veterans,protecting,service,commonwealth,police,care,benefits
Geoff Diehl,public,veterans,access,commonwealth,state,housing,safety,rights,assistance,benefits
Robert M. Koczera,school,public,access,health,promote,insurance,care,protect,commonwealth,safety
Christopher G. Fallon,officers,regarding,public,service,malden,program,firefighter,city,pertaining,health
Eileen M. Donoghue,education,public,health,program,commonwealth,access,financial,higher,workers,service
James E. Timilty,safety,public,town,health,police,insurance,commonwealth,services,state,benefits
Kathleen O'Connor Ives,education,public,health,protect,children,safety,access,special,services,care
Thomas M. McGee,health,public,care,benefits,access,safety,commonwealth,insurance,promote,protect
Danielle Gregoire,marlborough,city,town,charter,department,westborough,exempting,positions,civil,service
Thomas J. Calter,health,commonwealth,public,care,insurance,services,protect,safety,veterans,education
Stanley C. Rosenberg,town,greenfield,city,license,amherst,known,additional,public,grant,charter
George N. Peterson,rights,firearm,civil,license,town,property,fund,manufactured,housing,lawful
Cleon H. Turner,education,care,medical,health,rights,regional,special,commonwealth,regarding,school
Kathi-Anne Reinstein,care,commonwealth,city,public,safety,revere,town,services,improve,improving
Brian R. Mannal,public,protect,health,commonwealth,care,access,department,schools,property,regulate
Kevin J. Kuros,public,commonwealth,sales,school,state,municipal,children,health,insurance,fees
Bradley H. Jones,public,housing,commonwealth,town,offenders,sales,children,insurance,fund,state
George N. Peterson Jr.,commonwealth,children,public,housing,offenders,insurance,protecting,safety,sales,municipal
Jeffrey S¨¢nchez,health,housing,commonwealth,care,public,unnecessary,protecting,racial,ethnic,disparities
Daniel A. Wolf,town,nantucket,health,commonwealth,land,care,public,safety,promote,insurance
Kenneth J. Donnelly,health,public,services,commonwealth,care,protect,safety,education,access,workers
John V. Fernandes,promote,care,education,public,health,property,veterans,services,nursing,school
Harriett L. Chandler,health,worcester,dental,commonwealth,services,care,housing,sick,leave,bank
Kevin J. Murphy,services,provide,development,efficiency,disabilities,city,lowell,developmental,option,promote
Jennifer L. Flanagan,health,services,access,public,children,commonwealth,care,department,safety,mental
Dennis A. Rosa,veterans,department,health,services,regarding,insurance,care,children,public,program
John D. Keenan,commonwealth,services,health,protect,safety,children,care,school,education,child
Garrett J. Bradley,town,autism,services,insurance,students,medical,education,department,program,health
Rhonda Nyman,public,services,promote,benefits,safety,provide,pandas,pans,court,small
Steven M. Walsh,sick,leave,bank,employee,retirement,program,benefits,police,early,services
Cynthia S. Creem,health,education,protect,safety,access,care,town,promote,protecting,rights
